,app_nums,overdue_nums,app_nums/overdue_nums
cn.etouch.ecalendar,38,9,0.23684210526315788
cn.etouch.ecalendar.life,3,0,0.0
cn.etouch.ecalendar.overlay,1,0,0.0
cn.ew1.zonbank,5,2,0.4
cn.feezu.exiangxing,1,1,1.0
cn.feizhushidai,12,3,0.25
cn.flytalk.shudu,1,0,0.0
cn.focusspot.nanyuetong,1,0,0.0
cn.future.yijibang,1,0,0.0
cn.fzjj,2,0,0.0
cn.gamejelly.gong.nearme.gamecenter,1,0,0.0
cn.goapk.market,31,10,0.3225806451612903
cn.gogocity.suibian,1,1,1.0
cn.goldfish.GPSLocation,1,0,0.0
cn.gov.pbc.creditqueryclient,1,0,0.0
cn.gov.sh12333.humansocialsecurity,2,1,0.5
cn.gov.weijing.ns.wz,3,0,0.0
cn.grandfan.fanda,1,0,0.0
cn.guangdong106.monitor,1,0,0.0
cn.guozhen.guozhenzaixian,4,1,0.25
cn.gxdb.ypzan,1,1,1.0
cn.gyyx.android.qibao,2,1,0.5
cn.gyyx.phonekey,3,1,0.3333333333333333
cn.happypoker.hall,1,1,1.0
cn.hcc.chaodai,2,1,0.5
cn.hcc.dafudai,1,0,0.0
cn.hengyou.symyq,1,0,0.0
cn.hf189.ddxz.nearme.gamecenter,1,0,0.0
cn.hf189.djxz.nearme.gamecenter,1,0,0.0
cn.hmkj.hanhuihy_android,1,0,0.0
cn.hnrcu.swallet,1,0,0.0
cn.homecredit.wcl,1,1,1.0
cn.homecreditcfc.fudai,1,0,0.0
cn.huadian.huadian,1,1,1.0
cn.hualebei,21,6,0.2857142857142857
cn.hundun.datarecovery,3,0,0.0
cn.ibabyzone.music,1,0,0.0
cn.ibuka.manga.ui,1,0,0.0
cn.ideajoy.ih.goldenpoker,1,0,0.0
cn.ishansong,4,1,0.25
cn.j.hers,6,0,0.0
cn.jdt.hr,1,0,0.0
cn.jiguang.gp,1,0,0.0
cn.jingling.motu.photowonder,5,1,0.2
cn.jinlu.loan1,1,1,1.0
cn.jinlu.qiandailoan,1,1,1.0
cn.jinqianbao,1,1,1.0
cn.jinyangbao,7,4,0.5714285714285714
