,uid,bad_app_num
480,2234226968229,131
481,2234227641137,39
482,2234231651980,132
483,2234233918751,118
484,2234236389264,118
485,2234239872542,28
486,2234241374666,57
487,2234241600394,115
488,2234244183050,15
489,2234247622615,99
490,2234250698931,122
491,2234253182024,124
492,2234258616603,113
493,2234258833449,129
494,2234271593086,96
495,2234271808875,128
496,2234276525723,62
497,2234288898971,113
498,2234300839502,23
499,2234308642123,23
500,2234319967723,46
501,2234322216735,15
502,2234323538635,123
503,2234331360336,74
504,2234334837791,21
505,2234358283578,140
506,2234381209253,123
507,2234394367118,13
508,2234396366547,135
509,2234400164034,55
510,2234400270135,120
511,2234405315992,129
512,2234406400225,21
513,2234408997066,117
514,2234417481019,36
515,2234420493606,43
516,2234434394062,121
517,2234435337038,46
518,2234499214627,122
519,2234671627633,27
520,2234706458532,118
521,2234757997851,113
522,2234807717913,129
523,2234813412685,91
524,2234832083417,42
525,2234849379791,21
526,2234859858741,111
527,2234867615370,49
528,2234935355512,117
529,2234982668495,15
530,2234999110884,140
531,2235002557830,122
532,2235005759058,39
533,2235009208251,112
534,2235033428050,22
535,2235036167909,22
536,2235044406873,102
537,2235053832487,105
538,2235086727459,117
539,2235092542371,18
540,2235096167500,40
541,2235098172451,117
542,2235100447275,74
543,2235100673634,15
544,2235100831569,121
545,2235104613186,122
546,2235105603467,141
547,2235108588531,25
548,2235109299462,107
549,2235109779095,126
550,2235110529741,144
551,2235110743206,119
552,2235112391659,21
553,2235113123555,130
554,2235114386833,123
555,2235114974895,101
556,2235120052779,93
557,2235145748076,113
558,2235158607058,25
559,2235172929048,112
560,2235173087496,23
561,2235173610049,102
562,2235186943166,122
563,2235192164884,117
564,2235192384362,142
565,2235195176928,130
566,2235196115206,126
567,2235198886099,118
568,2235205317431,29
569,2235214986149,119
570,2235220366149,130
571,2235226487361,110
572,2235229281137,137
573,2235232207269,116
574,2235234201866,136
575,2235242331914,108
576,2235253214660,105
577,2235262782095,124
578,2235262966257,33
579,2235263553638,127
580,2235266046250,28
581,2235267446326,108
582,2235268967183,18
583,2235269948030,128
584,2235271887963,134
585,2235272570828,136
586,2235273452705,65
587,2235277045682,99
588,2235277593147,124
589,2235283071657,104
590,2235285805775,47
591,2235286375704,132
592,2235286993616,41
593,2235289911636,135
594,2235291485559,138
595,2235291749716,102
596,2235294309143,55
597,2235299217509,130
598,2235300143689,21
599,2235302321009,110
600,2235305425331,116
601,2235311809105,131
602,2235318911430,102
603,2235341182568,138
604,2235343990295,21
605,2235345342868,110
606,2235345483923,25
607,2235351744606,130
608,2235356289697,35
609,2235357798655,128
610,2235361362260,99
611,2235363989162,97
612,2235367189044,27
613,2235376779836,35
614,2235377674940,131
615,2235384334854,31
616,2235384439529,117
617,2235385729927,20
618,2235386692626,135
619,2235391206456,104
620,2235392284959,141
621,2235399877683,112
622,2235428376980,98
623,2235430904342,68
624,2235431870606,23
625,2235434633419,105
626,2235435257462,124
627,2235439094237,126
628,2235440309409,28
629,2235445855465,34
630,2235446760715,132
631,2235446918854,41
632,2235448777987,133
633,2235455255200,86
634,2235463236002,105
635,2235464604429,95
636,2235465987966,117
637,2235467234705,148
638,2235468213308,117
639,2235470290579,31
640,2235471096823,96
641,2235483325327,115
642,2235492833278,129
643,2235512383105,117
644,2235512495116,104
645,2235518881106,112
646,2235520429408,127
647,2235524993851,121
