,app_nums,overdue_nums,app_nums/overdue_nums
air.com.nsus.poker.prodtianlong,1,0,0.0
air.com.nvhaiguo.app150,1,0,0.0
air.com.pujing,1,0,0.0
air.com.quke.funbook,1,0,0.0
air.com.seerkey.zhongyi.gcopfe,1,0,0.0
air.com.seerkey.zhongyi.gcoptfe,1,0,0.0
air.com.tencent.qqfarm,1,0,0.0
air.com.tencent.qqfarmios,4,1,0.25
air.com.tencent.qqpasture,5,1,0.2
air.com.tornscreen.cfgame01,1,0,0.0
air.com.uoow.BeAMommy,1,0,0.0
air.com.uustock.chaodi,1,0,0.0
air.com.wuba.bangbang,1,0,0.0
air.dreamspace.android.airgallery,1,0,0.0
air.fx.TreasurePotPhone.inhouse,1,0,0.0
air.fyzb3,2,1,0.5
air.jp.globalgear.sinpu,1,0,0.0
air.jp.ne.hap.mom,1,0,0.0
air.jp.ne.hap.mom2,1,0,0.0
air.jp.ne.hap.purin,1,0,0.0
air.learningKoreanA,1,0,0.0
air.tv.douyu.android,225,54,0.24
air.zhongbanxia,1,0,0.0
aire.Jellyfish,1,0,0.0
aire.Jellyfish.appicon,1,0,0.0
aire.Jellyfish.home,1,0,0.0
aire.Jellyfish.wallpaper,1,0,0.0
aire.Lonely,1,0,0.0
aire.Lonely.appicon,1,0,0.0
aire.Lonely.home,1,0,0.0
aire.Lonely.wallpaper,1,0,0.0
aits.finland.about.com,1,0,0.0
aliapp.kuaidai.H571BF2B8,2,1,0.5
alicom.palm.android,2,1,0.5
all.parttimeguidesystem,5,2,0.4
allbb.apk,1,0,0.0
amountpoint.example.com.amountpoint,1,1,1.0
amway.baike.bri.com,4,1,0.25
android,4845,1279,0.26398348813209493
android.autoinstalls.config.motorola.layout,1,0,0.0
android.autoinstalls.config.samsung,4,1,0.25
android.autoinstalls.config.sony.xperia,3,0,0.0
android.btl.s600cn.overlay,8,1,0.125
android.decorate.jiajuol.com,1,0,0.0
android.djcc.com.djcc,1,0,0.0
android.ext.services,1766,453,0.2565118912797282
android.ext.shared,1766,453,0.2565118912797282
android.framer.work,1,0,0.0
android.framework.base.s600cn,7,1,0.14285714285714285
android.framework.fpsensor.overlay,3,0,0.0
android.overlay,1,1,1.0
android.overlay.cmcc,1,0,0.0
android.product.res.overlay.defaultgmessaging,2,0,0.0
android.report,4,2,0.5
android.res.overlay_305,3,0,0.0
android.res.overlay_310_318,1,0,0.0
android.system.calculator,1,1,1.0
android.system.memo,1,1,1.0
android.translate.xuedianba,1,1,1.0
android.wlan.overlay,3,0,0.0
android.zhibo8,71,16,0.22535211267605634
androidhwext,752,191,0.25398936170212766
androidzte,5,2,0.4
andylau.king.com,1,0,0.0
aolei.fc,13,2,0.15384615384615385
aolei.kjcx2,1,1,1.0
aolei.klc,2,1,0.5
aolei.newk3,1,0,0.0
aolei.ssc,1,0,0.0
aolei.ssq,5,0,0.0
aolei.tc,6,0,0.0
aolei.tcdlt,1,0,0.0
aolei.tycp,3,1,0.3333333333333333
aolei.ydniu,2,0,0.0
aolei.ydniuk3,1,0,0.0
aolei.ydniusyx5,1,1,1.0
aoyi.wanhaoqipai,1,0,0.0
app.bee.yours,2,0,0.0
app.chgabxhe.fiqnms4.fuw,1,0,0.0
app.com.huanqian,7,2,0.2857142857142857
app.com.yidaihome,1,0,0.0
app.com.zhproperty,1,1,1.0
app.daogou.a15818,1,0,0.0
app.fengyijie.congfeng,1,0,0.0
app.jiekuan360.com,1,0,0.0
app.laidianyi.quanqiuwa,1,0,0.0
app.mfc.com.mfcapp,7,2,0.2857142857142857
app.moneynoteslite,1,0,0.0
app.net.tongchengzj,8,2,0.25
app.note.hushi,1,1,1.0
app.note.medical,1,0,0.0
app.radishloan.juhe.com.myapplication,8,1,0.125
app.search.sogou.sgappsearch,7,4,0.5714285714285714
app.ucgame.cn,1,0,0.0
app.webchat.payments.agree,1,0,0.0
app.weile.jiaxiangmjmj.huawei,1,0,0.0
app.xuezhongdai.com.xzjrapp,2,2,1.0
appcan.zhibo.com,1,1,1.0
apps.cashboxs,2,1,0.5
art.appraisal,3,1,0.3333333333333333
asia.digitalcreative.vice,1,0,0.0
at.nerbrothers.SuperJump,1,1,1.0
audaque.SuiShouJie,22,7,0.3181818181818182
authentication.information,22,4,0.18181818181818182
aye_com.aye_aye_paste_android,1,0,0.0
azcx9d.com.publicgroupshop_shopping,1,0,0.0
bao.pay.thunderhammer.paybao,1,1,1.0
battymole.trainticket,10,5,0.5
bbin.mobile.bbvegas,17,5,0.29411764705882354
bbk.music.lockwidget,5,2,0.4
bbk.nfc,6,1,0.16666666666666666
bbwordruntime.bbdc.com,1,0,0.0
bdmobile.android.app,1,0,0.0
belief.zooking,1,1,1.0
belief.zooking.appicon,1,1,1.0
